X,Y,OBJECTID,WQM_ID,LU_TYPE_CDE_KEY,TYPE,SCN_SRV_CODE_NAME,MNTR_TYPE,WTRB_TYPE,LCTN_DSCR,MNTR_SITE_STS,CTMT_CSTL,DSTR,PLNG_RGN
2073573.442407,-3979473.82833978,596,INLD_388,1,INLD,DIEP12,Chemical & Bacterial,River,Diep River adjacent to Old Malmesbury Road,Routine,Diep,2,N
2085022.84943602,-4012092.37467335,597,INLD_374,1,INLD,BOP_1,Chemical & Bacterial,Detention Pond,Botfontein pond inlet,Routine,Eerste,2,N
2085127.67330795,-4012425.27386153,598,INLD_375,1,INLD,BOP_2,Chemical & Bacterial,Detention Pond,Botfontein pond outlet,Routine,Eerste,2,N
2085153.74420017,-4012193.78449207,599,INLD_376,1,INLD,BOP_3,Chemical & Bacterial,Detention Pond,Botfontein pond 3,Routine,Eerste,2,N
2085318.43100483,-4012594.11942223,600,INLD_377,1,INLD,BOP_4,Chemical & Bacterial,Detention Pond,Botfontein pond 4,Routine,Eerste,2,N
2085767.66482285,-4007088.50030601,601,INLD_416,1,INLD,SAP_1,Chemical & Bacterial,Detention Pond,Sandringham pond South Western inflow,Routine,Diep,2,N
2085806.34549837,-4006893.5918021,602,INLD_419,1,INLD,SAP_4,Chemical & Bacterial,Detention Pond,Sandringham pond central outflow,Routine,Diep,2,N
2086088.37568935,-4006726.48025302,603,INLD_418,1,INLD,SAP_3,Chemical & Bacterial,Detention Pond,Sandringham pond minor inflow,Routine,Diep,2,N
2086158.55142466,-4006657.92783574,604,INLD_417,1,INLD,SAP_2,Chemical & Bacterial,Detention Pond,Sandringham pond North inflow,Routine,Diep,2,N
2085745.65427418,-4013927.27356057,605,INLD_390,1,INLD,EK27,Chemical & Bacterial,River,Bottelary river upstream confluence,Routine,Eerste,2,N
2086589.69302917,-4013486.22839404,606,INLD_391,1,INLD,EK28,Chemical & Bacterial,River,Botterlary river at Botterlary Road (upstream point),Routine,Eerste,2,N
2068921.98169426,-4011182.40355031,607,INLD_395,1,INLD,ELS32,Chemical & Bacterial,Dam,Plattekloof Dam at Meyboom Avenue in Plattekloof,Routine,Salt,3,N
2070536.89737305,-4010113.43343565,608,INLD_396,1,INLD,ELS33,Chemical & Bacterial,Dam,Dam downstream of Kanonberg Dam on Riesling Street,Routine,Salt,2,N
2071144.42108517,-4011978.40704075,609,INLD_397,1,INLD,ELS34,Chemical & Bacterial,Dam,Welgemoed Dam in Tygerberg Nature Reserve,Routine,Salt,2,N
2071147.18649654,-4016362.15180405,610,INLD_398,1,INLD,ELS35,Chemical & Bacterial,River,De Kock Street at bend of M16,Routine,Salt,3,N
2078688.66641291,-4013182.90411654,611,INLD_394,1,INLD,EK31,Chemical & Bacterial,River,"Kuils River at end of Eikenhout Avenue, Bellville",Routine,Eerste,3,N
2073723.58464271,-4010108.45026003,612,INLD_399,1,INLD,ELS37,Chemical & Bacterial,River,"Elsieskraal River, off Van Riebeeckshof Road, just before Doordekraal Dam at bridge",Routine,Salt,2,N
2089061.54882973,-4003616.12556399,613,INLD_408,1,INLD,MOS12,Chemical & Bacterial,River,Mosselbank River near County Fair farm on R304,Routine,Diep,2,N
2078118.41292484,-4008126.75556367,614,INLD_392,1,INLD,EK29,Chemical & Bacterial,River,"Kuils River at Fairtrees public open space, at bridge on Ibis Street ",Routine,Eerste,2,N
2083901.25602195,-4015825.71047091,615,INLD_393,1,INLD,EK30,Chemical & Bacterial,River,"Off Bottelary Road at Hazendal Farm, Kuilsriver",Routine,Eerste,2,N
2060051.89128052,-3980184.91463379,616,INLD_387,1,INLD,DG03,Chemical & Bacterial,River,"Donkergat River, downstream of Wesfleur WWTW discharge point, off Brakkefontein Road",Routine,Sout,1,C
2046460.78327749,-4021593.16858318,617,INLD_382,1,INLD,CEN04,Chemical & Bacterial,River,"Camps Bay Stream, opposite 26 Shanklin Crescent at Shanklin Crescent Park",Routine,City,5,C
2046216.86959526,-4021425.87527541,618,INLD_383,1,INLD,CEN05,Chemical & Bacterial,River,"Diepsloot Stream at footbridge of the Glen near Camps Bay Retreat, Camps Bay",Routine,City,5,C
